Articulo,Precio x1,Precio,Marca,Categ,Grupo
Apoyamanos grande sin mantel,,6620,,,UÑAS
Apoyamanos con mantel,,7120,,,UÑAS
Apoyamanos chico,,6240,,,UÑAS
Apoyamanos outlet,,6240,,,UÑAS
Delantal,,13740,,,UÑAS
Balines en blíster y balines más Deco encapsular Beauty sky ,,2340,,DECO,UÑAS
Serpientes/armas strass ,,3630,,DECO,UÑAS
Brocha sirena (339),,2700,,BROCHAS,UÑAS
Brocha cola sirena ,,2940,,BROCHAS,UÑAS
Brocha ruibla azul en caja negra,,2370,,BROCHAS,UÑAS
Cabina Sun ONE 48w ,,13530,SUN,CABINAS,UÑAS
Cabina Sun x5 110w con fuente,,30630,SUN,CABINAS,UÑAS
Cadena para uñas con dije en blíster ,,2480,,DECO,UÑAS
Cadenas en cajita x6,,1740,,DECO,UÑAS
Cajas guantes dedo ,,3900,,,UÑAS
Canastos celestes chicos ,,1090,,,UÑAS
Canasto lila grande ,,1390,,,UÑAS
Cápsulas dual professional nail tips ,,4340,CITY GIRL,CONSTRUCCIÓN,UÑAS
Cápsulas dual caja grande,,4770,CITY GIRL,CONSTRUCCIÓN,UÑAS
Cápsulas dual en caja stilettos/ coffin ,,3680,,CONSTRUCCIÓN,UÑAS
Cáspsulas dual en blister blanco ,,3680,,CONSTRUCCIÓN,UÑAS
Cápsula dual professional nail,,3330,,CONSTRUCCIÓN,UÑAS
Cepillo con mango facial/uñas ,,1440,,,UÑAS
Cepillos x2 tina ,525,940,,,UÑAS
Corta cutículas + repuj ,,6570,,HERRAMIENTAS,UÑAS
Corta cuticulas Bei Bei ,,2700,,HERRAMIENTAS,UÑAS
Corta cutículas,,3320,CITY GIRL,HERRAMIENTAS,UÑAS
Corta cutículas plateado,,3330,ELOISE,HERRAMIENTAS,UÑAS
Corta cutículas tornasol,,3740,ELOISE,HERRAMIENTAS,UÑAS
Corta cutículas mango rosa,,3490,ELOISE,HERRAMIENTAS,UÑAS
Corta cuticulas soligen,,3490,,HERRAMIENTAS,UÑAS
Corta cutículas trim ,,2700,,HERRAMIENTAS,UÑAS
Corta tips con disco de medidas ,,6630,,HERRAMIENTAS,UÑAS
Corta tips rosa común,,3120,,HERRAMIENTAS,UÑAS
Crema exfoliante y humectante nail show ,,2140,,,UÑAS
Deco metal encapsular (711) ,,2990,CITY GIRL,DECO,UÑAS
Discos metálicos uñas,,1700,CITY GIRL,,UÑAS
Dotting x5,450,2240,,HERRAMIENTAS,UÑAS
Esmaltes miss cherry / neon,,1700,,ESMALTES,UÑAS
Exhibidor esmaltes ,,18230,,,UÑAS
Fibron para remover esmalte,,830,,,UÑAS
Fimos en blíster ,,750,,,UÑAS
Fresas carburo ,,4040,,FRESAS,UÑAS
Fresas cerámica ,,3330,,FRESAS,UÑAS
Fresas manicuría rusa ,,6630,,FRESAS,UÑAS
Fresas metal diamantada ,,1540,,FRESAS,UÑAS
Fresas pulidoras en blíster x 10,,6630,,FRESAS,UÑAS
Fresas pulidoras rosa,,1220,,FRESAS,UÑAS
Discos de lijado pies,,8740,,FRESAS,UÑAS
Gel fengshangmei x30,,6490,FENGSHANMEI,,UÑAS
Gel fengshangmei x50,,9870,FENGSHANMEI,,UÑAS
Guantes caja amarilla(negros)  ,,8680,,,UÑAS
Guantes caja azul y blanca (azules),,7340,,,UÑAS
KAWAII en bolsa x10 ,,3120,,DECO,UÑAS
KAWAII en caja ,,3490,,DECO,UÑAS
Lima obelisco,,620,,LIMAS,UÑAS
Lima obelisco mango plástico,,750,,LIMAS,UÑAS
Limas 80 ,,680,CITY GIRL,LIMAS,UÑAS
Limas cilindro caja ,,3330,,LIMAS,UÑAS
Limas lavables ,,750,,LIMAS,UÑAS
Limas opi ,,500,,LIMAS,UÑAS
Limas color,,750,CITY GIRL,LIMAS,UÑAS
Limas sk,,620,,LIMAS,UÑAS
Liners x3 tornasol (amarillo celeste rosa) ,,3330,,PINCELES,UÑAS
Liners x3 mango negro liso,,1550,,PINCELES,UÑAS
Liners x3 mango negro con puntitos de colores,,3120,,PINCELES,UÑAS
Liners x1,,2020,PARIS NIGHT,PINCELES,UÑAS
Liners x3,,5240,PARIS NIGHT,PINCELES,UÑAS
Liners x3 fino blanco nacarado,,2340,,PINCELES,UÑAS
Liners x3 mango transparente,,3730,,PINCELES,UÑAS
Liners x3 ZMA,,3330,,PINCELES,UÑAS
Liners x3 EzFlow,,4040,,PINCELES,UÑAS
Mariposa 3d plásticas ,,3900,,DECO,UÑAS
Mariposas y moños 3d ,,3730,,DECO,UÑAS
Mariposas y moños plásticas en blíster círculos ,,1520,,DECO,UÑAS
Osos metal en blíster ,,3330,,DECO,UÑAS
Palo naranjo x100  ,,2990,,,UÑAS
Palo naranjo plástico con glitter,,1700,,,UÑAS
Pedrería beauty sky piedras y strass ,,3680,,DECO,UÑAS
Piedras opal x 6 divisores (735) ,,2700,,DECO,UÑAS
Pigmento aurora  sobre rosa ,,2340,,DECO,UÑAS
Pigmento París night oro y plata  ,,2370,PARIS NIGHT,DECO,UÑAS
Pigmento y papel oro picado ,,1700,,DECO,UÑAS
Pigmento torre,,1870,,DECO,UÑAS
Pincel difuminar sirena Camila show ,,1850,,PINCELES,UÑAS
Pincel difuminar pata de cabra,,1650,,PINCELES,UÑAS
Pincel silicona doble piedra color adentro x5,990,4740,,PINCELES,UÑAS
Pincel silicona doble y lima obelisco piedras transparente adentro ,,1220,,PINCELES,UÑAS
Pincel silicona mango madera ,,750,,PINCELES,UÑAS
Pincel silicona tamaño chico x3,,2480,,PINCELES,UÑAS
Pinceles nail art one stroke x1,,920,,PINCELES,UÑAS
Pincelex x3 mango strass almendra,,3330,,PINCELES,UÑAS
Pinceles x3 cola sirena almendra,,3730,,PINCELES,UÑAS
Capuchones para remover semip manos  ,,2870,,HERRAMIENTAS,UÑAS
Capuchones para remover semip pies ,,1980,,HERRAMIENTAS,UÑAS
Placa + sello + difuminador en blister ,,3020,,,UÑAS
Poligel x30 ,,5620,CHARM LIMIT,CONSTRUCCIÓN,UÑAS
Poligel x60 ,,8240,CHARM LIMIT,CONSTRUCCIÓN,UÑAS
Poligel x30,,7240,FENGSHANMEI,CONSTRUCCIÓN,UÑAS
Poligel x50 ,,0,FENGSHANMEI,CONSTRUCCIÓN,UÑAS
Porta limas herramientas rosa ,,2050,,,UÑAS
Porta tips ajedrez ,,3120,,,UÑAS
Porta tips plástico ,,2580,,,UÑAS
Repujador,,750,OPI,HERRAMIENTAS,UÑAS
Sello difuminador con repuestos,,3730,,,UÑAS
Sello silicona 10G 630 y 2606  ,,3020,,,UÑAS
Strass 5 medidas (dividido) Vicky nail ,,2650,,DECO,UÑAS
Strass todas las medidas dorado plateado tornasol blanco ,,2650,CITY GIRL,DECO,UÑAS
"Strass negro, dorado ,plata, transparente blíster surt (075) ",,2650,CITY GIRL,DECO,UÑAS
Strass color separados  (ING decorations),,2650,,DECO,UÑAS
Strass x6 medidas de color Beauty sky art 632 ,,2650,,DECO,UÑAS
Strass y dijes encapsular  en blíster x 6 divisiones ,,2140,,DECO,UÑAS
Strass y piedras en caja Beauty sky ,,3570,,DECO,UÑAS
Uñeros x50 ,,2340,,,UÑAS
Uñeros x50 stiletto,,2650,,,UÑAS
Vincha spa moño ,,3120,,,UÑAS
Top y reinforcement,,3280,CHARM LIMIT,ESMALTES,UÑAS
Base y top aprobado,,3280,CHARM LIMIT,ESMALTES,UÑAS
Esmalte tapa negra,,2050,CHARM LIMIT,ESMALTES,UÑAS
Esmalte tapa negra x6,,0,CHARM LIMIT,ESMALTES,UÑAS
Esmalte tapa mismo color,,2340,CHARM LIMIT,ESMALTES,UÑAS
Esmalte aprobado,,2800,CHARM LIMIT,ESMALTES,UÑAS
Esmalte aprobado x6,,0,CHARM LIMIT,ESMALTES,UÑAS
Esmalte aprobado x12,,0,CHARM LIMIT,ESMALTES,UÑAS
Esmalte reflectivo / ojo de gato / reflex,,3120,CHARM LIMIT,ESMALTES,UÑAS
Esmalte 12ml,,2490,CHARM LIMIT,ESMALTES,UÑAS
Esmalte 15ml / moño,,2490,CHARM LIMIT,ESMALTES,UÑAS
Base rubber color,,3120,CHARM LIMIT,ESMALTES,UÑAS
Esmalte punta liner,,2750,CHARM LIMIT,ESMALTES,UÑAS
Cajas 12ml x5,,0,CHARM LIMIT,ESMALTES,UÑAS
Cajas 15ml x6,,0,CHARM LIMIT,ESMALTES,UÑAS
Cajas 10ml x12 tapa mismo color,,0,CHARM LIMIT,ESMALTES,UÑAS
Press gel sólido,,3120,CHARM LIMIT,,UÑAS
Base o top ,,2700,TEJAR,ESMALTES,UÑAS
Colores igual para liquidar ,,2070,TEJAR,ESMALTES,UÑAS
Foils x unidad,,500,,DECO,UÑAS
Foils x caja x6,,2480,,DECO,UÑAS
Foils x caja x10,,3830,,DECO,UÑAS
Pinceles lengua de gato o almendra,,1520,,PINCELES,UÑAS
Pinceles,,1720,PARIS NIGHT,PINCELES,UÑAS
Polímero qbd,,1990,,CONSTRUCCIÓN,UÑAS
Polímero acry,,10470,ACRYFINE,CONSTRUCCIÓN,UÑAS
Polímero color,,3330,,CONSTRUCCIÓN,UÑAS
Polímero color 10gr,,1700,,CONSTRUCCIÓN,UÑAS
Monómero x50,,3330,ELOISE,CONSTRUCCIÓN,UÑAS
Monómero x100,,4650,ELOISE,CONSTRUCCIÓN,UÑAS
Monómero,,11250,ACRYFINE,CONSTRUCCIÓN,UÑAS
Monómero siore,,12270,ACRYFINE,CONSTRUCCIÓN,UÑAS
Base 15 ml,,5620,NAVI,ESMALTES,UÑAS
Top 10ml,,4870,NAVI,ESMALTES,UÑAS
Capping 10ml,,4870,NAVI,,UÑAS
Capping 15ml,,5620,NAVI,,UÑAS
Esmaltes colores comunes y cover 10ml,,4530,NAVI,ESMALTES,UÑAS
Platinum,,4530,NAVI,ESMALTES,UÑAS
9D,,7490,NAVI,ESMALTES,UÑAS
Neon,,4530,NAVI,ESMALTES,UÑAS
Starshine,,5620,NAVI,ESMALTES,UÑAS
Gel spider,,3570,NAVI,,UÑAS
Poligel,,7180,NAVI,CONSTRUCCIÓN,UÑAS
Gel de construcción,,11120,NAVI,CONSTRUCCIÓN,UÑAS
Pincel almendra,,2030,NAVI,PINCELES,UÑAS
Pincel lengua de gato,,1700,NAVI,PINCELES,UÑAS
Limpia pincel,,1870,LAS VARANO,,UÑAS
Removedor 120,,2620,LAS VARANO,REMOVEDORES,UÑAS
Removedor 250,,4870,LAS VARANO,REMOVEDORES,UÑAS
Removedor 500,,9000,LAS VARANO,REMOVEDORES,UÑAS
Removedor 1l.,,16320,LAS VARANO,REMOVEDORES,UÑAS
Primer con ácido,,1990,LAS VARANO,,UÑAS
Primer sin ácido,,2240,LAS VARANO,,UÑAS
Bonder,,2620,LAS VARANO,,UÑAS
Adhere,,1990,LAS VARANO,,UÑAS
Superbond,,0,LAS VARANO,,UÑAS
Removedor cutícula en gel,,1870,LAS VARANO,REMOVEDORES,UÑAS
Aceite cutículas,,0,LAS VARANO,,UÑAS
Clarificador,,3120,LAS VARANO,,UÑAS
Peel off,,1740,LAS VARANO,,UÑAS
Sanitizante,,2370,LAS VARANO,,UÑAS
Sanitizante,,1850,LFME,,UÑAS
Pega foil ,,1300,LAS VARANO,,UÑAS
Esmalte Stamping,,0,LAS VARANO,,UÑAS
Capping,,0,LAS VARANO,,UÑAS
Solución Poligel 120ml,,2240,LAS VARANO,CONSTRUCCIÓN,UÑAS
Solución Poligel 250ml,,3740,LAS VARANO,CONSTRUCCIÓN,UÑAS
Ablandador pédico,,5120,LAS VARANO,,UÑAS
Poligel 30g,,5490,CHERIMOYA,CONSTRUCCIÓN,UÑAS
Poligel 50g,,8990,CHERIMOYA,CONSTRUCCIÓN,UÑAS
Esmalte Stamping,,950,CHERIMOYA,,UÑAS
Gel de construcción 15g blanco,,0,CHERIMOYA,CONSTRUCCIÓN,UÑAS
Gel de construcción 30g blanco,,8990,CHERIMOYA,CONSTRUCCIÓN,UÑAS
Solución Poligel 120ml,,1230,CHERIMOYA,CONSTRUCCIÓN,UÑAS
Gel plastilina,,1230,CHERIMOYA,,UÑAS
Gel paint,,3990,CHERIMOYA,,UÑAS
Semipermanente 8ml,,3090,CHERIMOYA,ESMALTES,UÑAS
Línea negra premium top/reinf,,5990,CHERIMOYA,ESMALTES,UÑAS
Línea blanca base/top/ph,,5490,CHERIMOYA,ESMALTES,UÑAS
Ultrabond,,5490,CHERIMOYA,ESMALTES,UÑAS
Primer con/sin ácido,,2290,CHERIMOYA,,UÑAS
Aceite y removedor cutículas en caja premium,,2350,CHERIMOYA,,UÑAS
Adhere,,1690,CHERIMOYA,,UÑAS
Perfect Liner,,1390,CHERIMOYA,,UÑAS
Tijerita,,1940,CHERIMOYA,HERRAMIENTAS,UÑAS
Lima spongee,,890,CHERIMOYA,LIMAS,UÑAS
Lima,,790,CHERIMOYA,LIMAS,UÑAS
Corta cutícula común (336),,4390,CHERIMOYA,HERRAMIENTAS,UÑAS
Corta cutícula con resorte,,0,CHERIMOYA,HERRAMIENTAS,UÑAS
Corta cutícula dorado (894),,3990,CHERIMOYA,HERRAMIENTAS,UÑAS
Corta uñas,,1490,CHERIMOYA,HERRAMIENTAS,UÑAS
Corta Tips Acero,,2290,CHERIMOYA,HERRAMIENTAS,UÑAS
Tratamientos de esmalte,,1290,CHERIMOYA,,UÑAS
Limpia pincel,,2190,CHERIMOYA,,UÑAS
Alicate grande (corta uñas),,4790,CHERIMOYA,HERRAMIENTAS,UÑAS
Kolinsky n°8,,10890,CHERIMOYA,PINCELES,UÑAS
Kolinsky rosa n°8 al 80%,,7690,,PINCELES,UÑAS
Pincel liner con tapa,,2690,CHERIMOYA,PINCELES,UÑAS
Pincel liner Kolinsky,,3860,CHERIMOYA,PINCELES,UÑAS
Cápsula dual,,2400,CHERIMOYA,SOFT GEL,UÑAS
Repujador común,,1230,CHERIMOYA,HERRAMIENTAS,UÑAS
Repujador mejor,,1420,CHERIMOYA,HERRAMIENTAS,UÑAS
Polímero 15g,,3080,CHERIMOYA,CONSTRUCCIÓN,UÑAS
Polímero 30g,,4000,CHERIMOYA,CONSTRUCCIÓN,UÑAS
Aceite cutículas,,1420,CHERIMOYA,,UÑAS
Repujador BeiBei,,1520,,HERRAMIENTAS,UÑAS
Repujador BeiBei Tornasol,,2050,,HERRAMIENTAS,UÑAS
Acetona 100ml,,2030,MD,REMOVEDORES,UÑAS
Acetona 250ml,,3740,MD,REMOVEDORES,UÑAS
Acetona 500ml,,6400,MD,REMOVEDORES,UÑAS
Acetona 1l,,11720,MD,REMOVEDORES,UÑAS
Removedor 100ml,,1830,LFME,REMOVEDORES,UÑAS
Adhere,,1250,LFME,,UÑAS
Primer con ácido,,1700,LFME,,UÑAS
Primer sin ácido,,1840,LFME,,UÑAS
Aceite cutículas,,1430,LFME,,UÑAS
Molde mariposa byn,,9930,,CONSTRUCCIÓN,UÑAS
Molde dorado,40,4550,,CONSTRUCCIÓN,UÑAS
Molde abeja,75,0,,CONSTRUCCIÓN,UÑAS
Molde,30,6690,CHERIMOYA,CONSTRUCCIÓN,UÑAS
Diamante,,3330,,,UÑAS
Diamante tornasol,,4030,,,UÑAS
Cabina bombon genérica,,3900,,CABINAS,UÑAS
